experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path,processing_time_min
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-06 04:02:00,success,2024-12-06 04:13:00,iPSsimulation/results/2024-11-13_real_round3/step_00000397/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,2024-12-06 04:12:00,success,2024-12-06 04:29:00,iPSsimulation/results/2024-11-13_real_round3/step_00000398/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,19,120,LabwareRefill,2024-12-06 07:00:00,success,2024-12-06 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000399/result.csv,120
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-06 15:06:00,success,2024-12-06 09:11:00,iPSsimulation/results/2024-11-13_real_round3/step_00000400/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-06 15:16:00,success,2024-12-06 09:27:00,iPSsimulation/results/2024-11-13_real_round3/step_00000401/result.csv,20
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-07 03:45:00,success,2024-12-07 03:56:00,iPSsimulation/results/2024-11-13_real_round3/step_00000402/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-07 03:55:00,success,2024-12-07 04:12:00,iPSsimulation/results/2024-11-13_real_round3/step_00000403/result.csv,20
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-07 04:13:00,success,2024-12-07 04:24:00,iPSsimulation/results/2024-11-13_real_round3/step_00000404/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,2024-12-07 04:23:00,success,2024-12-07 06:12:00,iPSsimulation/results/2024-11-13_real_round3/step_00000406/result.csv,20
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-07 09:12:00,success,2024-12-07 06:40:00,iPSsimulation/results/2024-11-13_real_round3/step_00000407/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-07 09:22:00,success,2024-12-07 06:44:00,iPSsimulation/results/2024-11-13_real_round3/step_00000408/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,20,120,LabwareRefill,2024-12-07 07:00:00,success,2024-12-07 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000409/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-08 03:56:00,success,2024-12-08 05:10:00,iPSsimulation/results/2024-11-13_real_round3/step_00000410/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-08 04:06:00,success,2024-12-08 05:20:00,iPSsimulation/results/2024-11-13_real_round3/step_00000411/result.csv,20
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-08 06:00:00,success,2024-12-08 05:27:00,iPSsimulation/results/2024-11-13_real_round3/step_00000412/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,2024-12-08 06:10:00,success,2024-12-08 05:34:00,iPSsimulation/results/2024-11-13_real_round3/step_00000413/result.csv,20
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-08 06:30:00,success,2024-12-08 05:43:00,iPSsimulation/results/2024-11-13_real_round3/step_00000414/result.csv,10
