experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28879123,success,28879135,iPSsimulation/results/2024-11-13_real_round3/step_00000311/result.csv
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28879133,success,28879151,iPSsimulation/results/2024-11-13_real_round3/step_00000312/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28879182,success,28879193,iPSsimulation/results/2024-11-13_real_round3/step_00000313/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28879192,success,28879209,iPSsimulation/results/2024-11-13_real_round3/step_00000314/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,11,120,LabwareRefill,28879620,success,28879620,iPSsimulation/results/2024-11-13_real_round3/step_00000315/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28879897,success,28879907,iPSsimulation/results/2024-11-13_real_round3/step_00000316/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28879907,success,28879923,iPSsimulation/results/2024-11-13_real_round3/step_00000317/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28880199,success,28880209,iPSsimulation/results/2024-11-13_real_round3/step_00000318/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28880209,success,28880225,iPSsimulation/results/2024-11-13_real_round3/step_00000319/result.csv
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28880229,success,28880240,iPSsimulation/results/2024-11-13_real_round3/step_00000320/result.csv
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28880239,success,28880256,iPSsimulation/results/2024-11-13_real_round3/step_00000321/result.csv
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28880576,success,28880587,iPSsimulation/results/2024-11-13_real_round3/step_00000322/result.csv
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28880586,success,28880603,iPSsimulation/results/2024-11-13_real_round3/step_00000323/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28880634,success,28880644,iPSsimulation/results/2024-11-13_real_round3/step_00000324/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28880644,success,28880660,iPSsimulation/results/2024-11-13_real_round3/step_00000325/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,12,120,LabwareRefill,28881060,success,28881060,iPSsimulation/results/2024-11-13_real_round3/step_00000326/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28881348,success,28881359,iPSsimulation/results/2024-11-13_real_round3/step_00000327/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28881358,success,28881375,iPSsimulation/results/2024-11-13_real_round3/step_00000328/result.csv
