experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,step,scheduled_time_datetime
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28876231,step_00000290,2024-11-26 07:31:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28876280,step_00000291,2024-11-26 08:20:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28876290,step_00000292,2024-11-26 08:30:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,9,120,LabwareRefill,28876740,step_00000293,2024-11-26 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28876995,step_00000294,2024-11-26 20:15:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28877005,step_00000295,2024-11-26 20:25:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28877297,step_00000296,2024-11-27 01:17:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28877307,step_00000297,2024-11-27 01:27:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28877327,step_00000298,2024-11-27 01:47:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28877337,step_00000299,2024-11-27 01:57:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28877672,step_00000300,2024-11-27 07:32:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28877682,step_00000301,2024-11-27 07:42:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28877731,step_00000302,2024-11-27 08:31:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28877741,step_00000303,2024-11-27 08:41:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,10,120,LabwareRefill,28878180,step_00000304,2024-11-27 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28878446,step_00000305,2024-11-27 20:26:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28878456,step_00000306,2024-11-27 20:36:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28878748,step_00000307,2024-11-28 01:28:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28878758,step_00000308,2024-11-28 01:38:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28878778,step_00000309,2024-11-28 01:58:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28878788,step_00000310,2024-11-28 02:08:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28879123,step_00000311,2024-11-28 07:43:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28879133,step_00000312,2024-11-28 07:53:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28879182,step_00000313,2024-11-28 08:42:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28879192,step_00000314,2024-11-28 08:52:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,11,120,LabwareRefill,28879620,step_00000315,2024-11-28 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28879897,step_00000316,2024-11-28 20:37:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28879907,step_00000317,2024-11-28 20:47:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28880199,step_00000318,2024-11-29 01:39:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28880209,step_00000319,2024-11-29 01:49:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28880229,step_00000320,2024-11-29 02:09:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28880239,step_00000321,2024-11-29 02:19:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28880576,step_00000322,2024-11-29 07:56:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28880586,step_00000323,2024-11-29 08:06:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28880634,step_00000324,2024-11-29 08:54:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28880644,step_00000325,2024-11-29 09:04:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,12,120,LabwareRefill,28881060,step_00000326,2024-11-29 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28881348,step_00000327,2024-11-29 20:48:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28881358,step_00000328,2024-11-29 20:58:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28881650,step_00000329,2024-11-30 01:50:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28881660,step_00000330,2024-11-30 02:00:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28881680,step_00000331,2024-11-30 02:20:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28881690,step_00000332,2024-11-30 02:30:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28882028,step_00000333,2024-11-30 08:08:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28882038,step_00000334,2024-11-30 08:18:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28882085,step_00000335,2024-11-30 09:05:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28882095,step_00000336,2024-11-30 09:15:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,13,120,LabwareRefill,28882500,step_00000337,2024-11-30 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28882800,step_00000338,2024-11-30 21:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28882810,step_00000339,2024-11-30 21:10:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28883101,step_00000340,2024-12-01 02:01:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28883111,step_00000341,2024-12-01 02:11:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28883131,step_00000342,2024-12-01 02:31:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28883141,step_00000343,2024-12-01 02:41:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,14,120,LabwareRefill,28883940,step_00000346,2024-12-01 16:00:00+09:00
IPSExperiment,iPS_Experiment_3,2,0,20,iPSPlateCoating,28884423,step_00000349,2024-12-02 00:03:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,10,iPSGetImage,28884503,step_00000352,2024-12-02 01:23:00+09:00
IPSExperiment,iPS_Experiment_3,1,2,80,iPSPassage,28884513,step_00000353,2024-12-02 01:33:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28884600,step_00000354,2024-12-02 03:00:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28884610,step_00000355,2024-12-02 03:10:00+09:00
IPSExperiment,iPS_Experiment_2,4,0,20,iPSPlateCoating,28884628,step_00000356,2024-12-02 03:28:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28884648,step_00000357,2024-12-02 03:48:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28884658,step_00000358,2024-12-02 03:58:00+09:00
IPSExperiment,iPS_Experiment_0,2,0,10,iPSGetImage,28884675,step_00000359,2024-12-02 04:15:00+09:00
IPSExperiment,iPS_Experiment_0,2,1,20,iPSMediumChange,28884685,step_00000360,2024-12-02 04:25:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,10,iPSGetImage,28884708,step_00000361,2024-12-02 04:48:00+09:00
IPSExperiment,iPS_Experiment_2,1,2,80,iPSPassage,28884718,step_00000362,2024-12-02 04:58:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,15,120,LabwareRefill,28885380,step_00000363,2024-12-02 16:00:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28885964,step_00000364,2024-12-03 01:44:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28885974,step_00000365,2024-12-03 01:54:00+09:00
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28886099,step_00000366,2024-12-03 03:59:00+09:00
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,28886109,step_00000367,2024-12-03 04:09:00+09:00
IPSExperiment,iPS_Experiment_0,2,0,10,iPSGetImage,28886127,step_00000368,2024-12-03 04:27:00+09:00
IPSExperiment,iPS_Experiment_0,2,1,20,iPSMediumChange,28886137,step_00000369,2024-12-03 04:37:00+09:00
IPSExperiment,iPS_Experiment_2,2,0,10,iPSGetImage,28886159,step_00000370,2024-12-03 04:59:00+09:00
IPSExperiment,iPS_Experiment_2,2,1,20,iPSMediumChange,28886169,step_00000371,2024-12-03 05:09:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,16,120,LabwareRefill,28886820,step_00000372,2024-12-03 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,4,0,20,iPSPlateCoating,28887145,step_00000373,2024-12-03 21:25:00+09:00
IPSExperiment,iPS_Experiment_0,4,1,10,iPSGetImage,28887225,step_00000374,2024-12-03 22:45:00+09:00
IPSExperiment,iPS_Experiment_0,4,2,80,iPSPassage,28887235,step_00000375,2024-12-03 22:55:00+09:00
IPSExperiment,iPS_Experiment_3,1,2,10,iPSGetImage,28887434,step_00000376,2024-12-04 02:14:00+09:00
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28887550,step_00000377,2024-12-04 04:10:00+09:00
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,28887560,step_00000378,2024-12-04 04:20:00+09:00
IPSExperiment,iPS_Experiment_2,1,2,10,iPSGetImage,28887629,step_00000379,2024-12-04 05:29:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,17,120,LabwareRefill,28888260,step_00000380,2024-12-04 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28888677,step_00000381,2024-12-04 22:57:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28888687,step_00000382,2024-12-04 23:07:00+09:00
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28889480,step_00000387,2024-12-05 12:20:00+09:00
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28889480,step_00000388,2024-12-05 12:20:00+09:00
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,28889490,step_00000389,2024-12-05 12:30:00+09:00
IPSExperiment,iPS_Experiment_2,2,0,10,iPSGetImage,28889509,step_00000390,2024-12-05 12:49:00+09:00
IPSExperiment,iPS_Experiment_2,2,1,20,iPSMediumChange,28889519,step_00000391,2024-12-05 12:59:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,18,120,LabwareRefill,28889700,step_00000392,2024-12-05 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,2,10,iPSGetImage,28890147,step_00000394,2024-12-05 23:27:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28890934,step_00000395,2024-12-06 12:34:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28890944,step_00000396,2024-12-06 12:44:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28890962,step_00000397,2024-12-06 13:02:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28890972,step_00000398,2024-12-06 13:12:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,19,120,LabwareRefill,28891140,step_00000399,2024-12-06 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28891626,step_00000400,2024-12-07 00:06:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28891636,step_00000401,2024-12-07 00:16:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28892385,step_00000402,2024-12-07 12:45:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28892395,step_00000403,2024-12-07 12:55:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28892413,step_00000404,2024-12-07 13:13:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28892423,step_00000406,2024-12-07 13:23:00+09:00
